step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,8.05848113854671,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9260823601814202,0,0.0,1.0,1,0.0,0.5088177291628734,0,0.0,1.0,0,0.0,1.0,1,0.0
20.0,1,0.0,0.0,10.073458122562087,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,0.5145207155666894,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9072751550468755,0,0.0,1.0,0,0.0,0.9578520814209517,0,0.0,0.7919487107652929,0,0.0,1.0,1,0.0
30.0,0,0.0,0.0,10.587778252237896,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9823765205450117,0,0.0,0.9095292501544062,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8847424562344801,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6201500591154541,0,0.0,0.916345285677869,0,0.0,0.46268569398248544,0,0.0
40.0,2,1.0,0.06666666666666667,8.425200517438993,1,0.0,0.4437998819329937,0,0.0,1.0,0,0.0,0.33262022875890296,0,0.0,0.9093933018279522,0,0.0,0.6407349610540582,0,0.0,1.0,0,0.0,1.0,0,0.0,0.929022633631498,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.346986976424575,0,1.0,0.6668959841005266,0,0.0,0.9730424834696266,2,2.0
50.0,4,14.0,0.7777777777777778,9.247007081172448,0,0.0,0.9705342498161504,0,0.0,1.0,0,0.0,0.7544997200101125,1,3.0,1.0207437702731863e-05,1,8.0,0.0,0,0.0,1.0,0,0.0,1.0,2,3.0,0.3244278332567976,0,0.0,1.0,0,3.0,0.9394862647122635,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9978810477343126,0,0.0,0.9767136566005832,0,2.0,0.9580405355643586,0,1.0,0.5315920244891404,4,20.0
60.0,1,2.0,0.09523809523809523,10.621797804399652,0,2.0,0.7485267038606505,0,0.0,1.0,0,0.0,0.9269559932248521,0,0.0,0.9528259389192933,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9646118898139548,0,0.0,0.91634900567134,0,0.0,1.0,0,3.0,0.8976425551325999,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8584986826062132,1,2.0,0.38239898981952863,0,2.0,0.47289777444121084,0,1.0,0.5416745999596412,1,12.0
70.0,3,13.0,0.5416666666666666,9.8354759189412,1,7.0,0.5210480853983499,0,0.0,1.0,1,7.0,0.41785563290841016,0,0.0,0.7990507857111018,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9955774695415134,0,0.0,0.9444342711584178,0,0.0,1.0,0,5.0,0.7409435162537733,0,2.0,0.9978545693176636,0,0.0,1.0,1,1.0,0.4747416747406556,0,0.0,0.936841620134996,0,0.0,1.0,0,0.0,0.9618882848007645,3,24.0
80.0,4,38.0,1.5833333333333333,9.180058785846638,1,17.0,0.27325350626824096,0,0.0,0.9918891974740708,0,0.0,0.9064416367401021,0,0.0,0.9628798860768943,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9946447575293339,1,4.0,3.584851884754299e-05,0,0.0,1.0,1,12.0,0.4947585946875889,0,3.0,0.9895702955664092,0,0.0,1.0,1,11.0,0.46526111236096,0,0.0,0.9809132768283063,0,0.0,1.0,0,0.0,0.6492905674448076,4,49.0
90.0,8,95.0,3.6538461538461537,8.458852565428497,2,32.0,0.484482013663578,0,1.0,0.9156731880695087,0,1.0,0.4919848788827335,0,0.0,0.8889946767817114,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9248926703031917,1,14.0,0.0,0,0.0,1.0,2,23.0,0.002098617526852331,0,1.0,0.9559750514029266,0,0.0,1.0,2,25.0,0.0,1,5.0,0.1677719553824303,0,0.0,1.0,0,0.0,0.9705619224420132,8,104.0
100.0,14,184.0,6.814814814814815,5.653413947351196,3,56.0,0.31646454755377973,1,3.0,0.6367759759551596,1,11.0,0.26904425746864025,3,7.0,0.2304987888481914,0,0.0,0.9904926607691475,0,0.0,1.0,1,3.0,0.45128243165283827,1,24.0,0.0,0,0.0,1.0,2,43.0,0.0,0,1.0,0.7007551785708753,0,0.0,1.0,2,47.0,0.31705626494297096,0,0.0,0.9854935076164405,0,0.0,1.0,0,0.0,0.49191766186672653,14,195.0
110.0,12,235.0,7.833333333333333,6.889051554034084,4,90.0,0.31463823031765764,0,0.0,0.9693682925388356,0,2.0,0.9675370751641279,2,15.0,0.460651948777176,0,0.0,0.9581767452428033,0,2.0,0.9655592945448609,0,2.0,0.9622837473947005,0,0.0,1.0,0,0.0,1.0,2,63.0,0.0,1,9.0,0.0,0,0.0,1.0,2,67.0,0.30197113806883485,0,0.0,0.935562824997948,0,0.0,0.9832291695092259,1,0.0,0.1685330396514596,12,250.0
